1;Bratislavský kraj;364 315
SK0101;Okres Bratislava I;22 711
SK0102;Okres Bratislava II;62 886
SK0103;Okres Bratislava III;36 966
SK0104;Okres Bratislava IV;54 900
SK0105;Okres Bratislava V;70 507
SK0106;Okres Malacky;39 056
SK0107;Okres Pezinok;34 228
SK0108;Okres Senec;43 061
2;Trnavský kraj;287 372
SK0211;Okres Dunajská Streda;62 725
SK0212;Okres Galanta;49 057
SK0213;Okres Hlohovec;22 387
SK0214;Okres Piešťany;31 381
SK0215;Okres Senica;30 926
SK0216;Okres Skalica;24 063
SK0217;Okres Trnava;66 833
3;Trenčiansky kraj;291 664
SK0221;Okres Bánovce nad Bebravou;18 434
SK0222;Okres Ilava;30 390
SK0223;Okres Myjava;13 292
SK0224;Okres Nové Mesto nad Váhom;31 403
SK0225;Okres Partizánske;21 670
SK0226;Okres Považská Bystrica;31 494
SK0227;Okres Prievidza;65 533
SK0228;Okres Púchov;22 706
SK0229;Okres Trenčín;56 742
4;Nitriansky kraj;344 206
SK0231;Okres Komárno;51 679
SK0232;Okres Levice;53 921
SK0233;Okres Nitra;83 987
SK0234;Okres Nové Zámky;70 260
SK0235;Okres Šaľa;26 575
SK0236;Okres Topoľčany;37 400
SK0237;Okres Zlaté Moravce;20 384
5;Žilinský kraj;352 347
SK031A;Okres Tvrdošín;15 341
SK031B;Okres Žilina;45 851
SK0311;Okres Bytča;20 026
SK0312;Okres Čadca;17 368
SK0313;Okres Dolný Kubín;37 255
SK0314;Okres Kysucké Nové Mesto;49 593
SK0315;Okres Liptovský Mikuláš;28 770
SK0316;Okres Martin;28 431
SK0317;Okres Námestovo;8 344
SK0318;Okres Ružomberok;18 000
SK0319;Okres Turčianske Teplice;83 368
6;Banskobystrický kraj;315 145
SK0321;Okres Banská Bystrica;60 963
SK032A;Okres Veľký Krtíš;7 904
SK032B;Okres Zvolen;29 995
SK032C;Okres Žarnovica;15 904
SK032D;Okres Žiar nad Hronom;10 686
SK0322;Okres Banská Štiavnica;33 177
SK0323;Okres Brezno;9 857
SK0324;Okres Detva;17 497
SK0325;Okres Krupina;37 188
SK0326;Okres Lučenec;20 262
SK0327;Okres Poltár;35 628
SK0328;Okres Revúca;12 815
SK0329;Okres Rimavská Sobota;23 269
7;Prešovský kraj;390 336
SK041A;Okres Stará Ľubovňa;38 082
SK041B;Okres Stropkov;30 401
SK041C;Okres Svidník;32 676
SK041D;Okres Vranov nad Topľou;15 275
SK0411;Okres Bardejov;5 291
SK0412;Okres Humenné;52 032
SK0413;Okres Kežmarok;83 594
SK0414;Okres Levoča;26 896
SK0415;Okres Medzilaborce;17 557
SK0416;Okres Poprad;24 387
SK0417;Okres Prešov;10 386
SK0418;Okres Sabinov;16 456
SK0419;Okres Snina;37 303
8;Košický kraj;368 846
SK0421;Okres Gelnica;13 326
SK042A;Okres Spišská Nová Ves;34 209
SK042B;Okres Trebišov;39 483
SK0422;Okres Košice I;15 255
SK0423;Okres Košice II;27 714
SK0424;Okres Košice III;58 218
SK0425;Okres Košice IV;50 976
SK0426;Okres Košice - okolie;28 523
SK0427;Okres Michalovce;10 339
SK0428;Okres Rožňava;43 440
SK0429;Okres Sobrance;47 363
9;Zahraničie;0
